pageid,bin_death_index,ma,diff_percent
423882,31,3884,4.41
423882,32,3887,4.41
423882,33,3811,4.31
423882,34,3706,4.16
423882,35,3619,4.04
423882,36,3699,4.15
423882,37,3913,4.45
423882,38,3475,3.84
423882,39,3362,3.68
423882,40,3306,3.60
423882,41,3255,3.53
423882,42,3232,3.50
423882,43,3157,3.40
423882,44,2868,2.99
423882,45,2786,2.88
423882,46,2907,3.05
423882,47,19970,26.81
423882,48,23176,31.28
423882,49,24265,32.80
423882,50,24636,33.31
423882,51,25111,33.97
423882,52,25547,34.58
423882,53,25664,34.74
423882,54,8654,11.05
423882,55,5487,6.64
423882,56,4423,5.16
423882,57,3884,4.41
423882,58,3412,3.75
423882,59,2925,3.07
423882,60,2746,2.82
423882,61,2783,2.88
423882,62,2686,2.74
423882,63,2596,2.62
423882,64,2555,2.56
423882,65,2493,2.47
423882,66,2483,2.46
423882,67,2318,2.23
423882,68,2133,1.97
423882,69,2105,1.93
423882,70,2086,1.91
423882,71,2008,1.80
423882,72,1925,1.68
423882,73,2987,3.16
423882,74,3085,3.30
423882,75,3490,3.86
423882,76,3523,3.91
423882,77,3589,4.00
423882,78,3682,4.13
423882,79,3727,4.19
423882,80,2591,2.61
423882,81,2474,2.45
423882,82,2058,1.87
423882,83,2011,1.80
423882,84,1933,1.69
423882,85,1866,1.60
423882,86,1870,1.60
423882,87,1917,1.67
423882,88,1906,1.65
423882,89,1897,1.64
423882,90,1903,1.65
423882,91,1902,1.65
423882,92,1873,1.61
423882,93,1794,1.50
423882,94,1685,1.35
423882,95,1654,1.30
423882,96,1634,1.28
423882,97,1609,1.24
423882,98,1595,1.22
423882,99,1593,1.22
423882,100,1584,1.21
423882,101,1599,1.23
423882,102,1592,1.22
423882,103,1580,1.20
423882,104,1557,1.17
423882,105,1521,1.12
423882,106,1503,1.09
423882,107,1495,1.08
423882,108,1455,1.03
423882,109,1452,1.02
423882,110,1500,1.09
423882,111,1558,1.17
423882,112,1884,1.62
423882,113,2499,2.48
423882,114,2867,2.99
423882,115,3086,3.30
423882,116,3240,3.51
423882,117,3253,3.53
423882,118,3234,3.50
423882,119,2943,3.10
423882,120,2336,2.25
8786,30,33335,2.47
8786,31,31887,2.32
8786,32,31513,2.28
8786,33,30643,2.19
8786,34,31380,2.27
8786,35,29942,2.12
8786,36,29674,2.09
8786,37,40356,3.20
8786,38,42863,3.46
8786,39,42592,3.43
8786,40,42725,3.45
8786,41,40990,3.27
8786,42,40764,3.24
8786,43,40026,3.17
8786,44,28531,1.97
8786,45,28743,1.99
8786,46,29365,2.06
8786,47,30192,2.14
8786,48,30223,2.15
8786,49,30140,2.14
8786,50,31829,2.31
8786,51,31693,2.30
8786,52,27820,1.90
8786,53,25477,1.65
8786,54,23180,1.41
8786,55,21722,1.26
8786,56,20623,1.15
8786,57,18169,0.89
8786,58,17576,0.83
8786,59,17113,0.78
8786,60,16776,0.75
8786,61,16660,0.73
8786,62,16707,0.74
8786,63,16649,0.73
8786,64,16794,0.75
8786,65,16735,0.74
8786,66,16578,0.73
8786,67,16575,0.73
8786,68,16507,0.72
8786,69,16134,0.68
8786,70,15875,0.65
8786,71,16223,0.69
8786,72,16476,0.72
8786,73,16965,0.77
8786,74,17120,0.78
8786,75,17185,0.79
8786,76,17206,0.79
8786,77,17250,0.80
8786,78,16644,0.73
8786,79,16405,0.71
8786,80,16439,0.71
8786,81,16572,0.73
8786,82,17539,0.83
8786,83,17958,0.87
8786,84,17814,0.85
8786,85,18125,0.89
8786,86,17949,0.87
8786,87,17456,0.82
8786,88,17008,0.77
8786,89,16636,0.73
8786,90,16106,0.68
8786,91,15740,0.64
8786,92,15174,0.58
8786,93,15298,0.59
8786,94,15340,0.60
8786,95,15099,0.57
8786,96,13922,0.45
8786,97,14018,0.46
8786,98,14160,0.47
8786,99,14233,0.48
8786,100,13998,0.46
8786,101,14017,0.46
8786,102,18166,0.89
8786,103,22993,1.39
8786,104,25206,1.62
8786,105,26457,1.75
8786,106,27193,1.83
8786,107,27707,1.88
8786,108,27722,1.89
8786,109,23753,1.47
8786,110,19121,0.99
8786,111,16662,0.73
8786,112,15419,0.61
8786,113,14510,0.51
8786,114,13905,0.45
8786,115,13723,0.43
8786,116,13659,0.42
8786,117,13720,0.43
8786,118,13444,0.40
8786,119,13164,0.37
8786,120,12968,0.35
39879,30,11392,1.99
39879,31,11101,1.91
39879,32,10919,1.86
39879,33,11462,2.00
39879,34,11400,1.99
39879,35,11346,1.97
39879,36,11299,1.96
39879,37,11036,1.89
39879,38,11876,2.11
39879,39,12353,2.24
39879,40,11691,2.06
39879,41,11650,2.05
39879,42,11378,1.98
39879,43,11152,1.92
39879,44,10961,1.87
39879,45,9864,1.58
39879,46,19337,4.07
39879,47,20093,4.27
39879,48,20903,4.48
39879,49,21138,4.54
39879,50,21381,4.60
39879,51,21998,4.76
39879,52,22665,4.94
39879,53,13035,2.42
39879,54,12209,2.20
39879,55,11274,1.95
39879,56,11092,1.91
39879,57,11151,1.92
39879,58,10687,1.80
39879,59,9879,1.59
39879,60,9283,1.43
39879,61,9087,1.38
